"","Buyout.Agreement.Date","Buyout.Amount","Address","Analysis.Neighborhood","point"
"4538","05/27/2021",30000,"711 44th Avenue","Outer Richmond","POINT (-122.50484447489404 37.775113696584306)"
"4539","01/13/2020",42000,"2437 chestnut Street","Marina","POINT (-122.44349709811016 37.79987438810001)"
"4540","",NA,"135 Wilde Avenue","Visitacion Valley","POINT (-122.40049647860067 37.71645554180379)"
"4542","",NA,"44 Bonview Street","Bernal Heights","POINT (-122.41596850682538 37.74447049503197)"
"4543","",NA,"2993 22nd Street","Mission","POINT (-122.41417665657261 37.75569091974093)"
"4544","01/04/2016",35000,"35 Alpine Terrace","Haight Ashbury","POINT (-122.43769099682665 37.7697898875877)"
"4545","",NA,"625 Moultrie Street","Bernal Heights","POINT (-122.41596496243768 37.73688019822709)"
"4546","10/11/2019",41000,"1454 South Van Ness Avenue","Mission","POINT (-122.41607136113461 37.749902121838424)"
"4547","",NA,"1563 Lyon Street","Presidio Heights","POINT (-122.44499267813903 37.785183483067094)"
"4548","",NA,"1312 32nd Avenue","Sunset/Parkside","POINT (-122.49101199904405 37.76265860302272)"
"4549","03/29/2017",66313.27,"1610 Vallejo Street","Marina","POINT (-122.42387736816485 37.79668993673984)"
"4551","",NA,"449 11th Avenue","Inner Richmond","POINT (-122.4696093163212 37.77983013200103)"
"4552","09/28/2020",50040,"2058 32nd Avenue","Sunset/Parkside","POINT (-122.49004222442846 37.74881470526411)"
"4553","",NA,"550 Moraga Street","Inner Sunset","POINT (-122.46849091574161 37.75649380705191)"
"4554","05/22/2019",10000,"322 El Camino Del Mar","Seacliff","POINT (-122.48667522230777 37.78757958950507)"
"4555","12/23/2019",11634,"623 Athens Street","Excelsior","POINT (-122.43105794908018 37.71812982721216)"
"4556","11/25/2015",20000,"1929 Fulton Street","Lone Mountain/USF","POINT (-122.4485131909399 37.77552147116951)"
"4557","",NA,"232 liberty Street","Castro/Upper Market","POINT (-122.42648905054092 37.75741432963775)"
"4558","",NA,"1534 17th Avenue","Inner Sunset","POINT (-122.47465631117333 37.759258732420335)"
"4559","04/26/2016",30000,"29 Salmon Street","Nob Hill","POINT (-122.41263622358356 37.79643250825459)"
"4560","",NA,"3324 19th Street","Mission","POINT (-122.41755445649505 37.76036795175988)"
"4561","",NA,"2240 15th Avenue","West of Twin Peaks","POINT (-122.47125625014115 37.74620085910111)"
"4562","12/12/2018",32000,"402 Prentiss Street","Bernal Heights","POINT (-122.41218259584905 37.738139766780016)"
"4563","03/06/2018",45888,"2319 37th Avenue","Sunset/Parkside","POINT (-122.49512864399425 37.74367179338603)"
"4564","11/03/2020",9075,"1871 30th Avenue","Sunset/Parkside","POINT (-122.48822744830746 37.75242954643149)"
"4565","08/13/2019",123750,"3665 Clay Street","Presidio Heights","POINT (-122.45317261638958 37.78828350755573)"
"4566","",NA,"1769 Fulton Street","Lone Mountain/USF","POINT (-122.44591756540298 37.775851187830185)"
"4567","06/08/2022",35000,"3830 Divisadero Street","Marina","POINT (-122.44383719610086 37.80497036434567)"
"4568","09/02/2016",50000,"433 Elizabeth Street","Noe Valley","POINT (-122.43050456870974 37.75229308512553)"
"4570","08/07/2015",51325,"1952 15th Street","Castro/Upper Market","POINT (-122.42795316086092 37.76621523547141)"
"4571","",NA,"637 Hamilton Street","Portola","POINT (-122.40831852944231 37.723236732915936)"
"4572","",NA,"551 Myra Way","West of Twin Peaks","POINT (-122.4507511432254 37.73830683834861)"
"4573","04/11/2018",52000,"875 30th Avenue","Outer Richmond","POINT (-122.48962452179481 37.772831797713586)"
"4575","",NA,"607 17th Avenue","Outer Richmond","POINT (-122.4759212734297 37.776503219958215)"
"4576","11/07/2019",14000,"1278 03rd Avenue","Inner Sunset","POINT (-122.45989604791356 37.764744807391516)"
"4577","08/09/2019",11634,"831 Brussels Street","Portola","POINT (-122.40337584915686 37.721904392149696)"
"4578","",NA,"45 de Soto Street","West of Twin Peaks","POINT (-122.46631754447006 37.72244584171975)"
"4579","",NA,"2319 37th Avenue","Sunset/Parkside","POINT (-122.49512864399425 37.74367179338603)"
"4581","02/01/2018",NA,"896 22nd Street","Potrero Hill","POINT (-122.39009768921642 37.75786546395671)"
"4582","",NA,"341 Waller Street","Hayes Valley","POINT (-122.429314602897 37.771273394996236)"
"4583","",NA,"885 Portola Drive","West of Twin Peaks","POINT (-122.45502782614777 37.7431689461379)"
"4584","",NA,"652 10th Avenue","Inner Richmond","POINT (-122.46820102609202 37.77606140817042)"
"4585","",NA,"587 London Street","Excelsior","POINT (-122.43735500233902 37.71989014462769)"
"4586","",NA,"24 John Street","Chinatown","POINT (-122.4104437236786 37.79603439022887)"
"4587","",NA,"1523 10th Avenue","Inner Sunset","POINT (-122.46713649940193 37.759799341002704)"
"4591","03/05/2020",5743,"260 Quane Street","Mission","POINT (-122.42462609949955 37.75251959406711)"
"4592","01/29/2016",53703.46,"150 Downey Street","Haight Ashbury","POINT (-122.44699442662578 37.76621666765612)"
"4593","",NA,"395 Dolores Street","Mission","POINT (-122.42613451546407 37.763176314358915)"
"4594","",NA,"695 Chenery Street","Glen Park","POINT (-122.43370695925292 37.73447101743622)"
"4595","",NA,"1556 Church Street","Noe Valley","POINT (-122.42692395104275 37.745934412739146)"
"4596","",NA,"2355 polk Street","Russian Hill","POINT (-122.42229703583594 37.79833264216187)"
"4597","05/17/2016",45000,"38 Steiner Street","Hayes Valley","POINT (-122.43160944224839 37.769611501846974)"
"4598","05/17/2022",40000,"326 La Grande Avenue","Excelsior","POINT (-122.42563346376055 37.719957899874075)"
"4599","05/26/2021",30000,"52 Mars Street","Castro/Upper Market","POINT (-122.4446532144892 37.761233185103755)"
"4600","08/13/2015",20000,"1660 Florida Street","Bernal Heights","POINT (-122.40915038617474 37.74711479233095)"
"4601","10/11/2016",75000,"1411 16th Avenue","Inner Sunset","POINT (-122.47381174560854 37.761582686525315)"
"4602","09/14/2020",35000,"8 Jordan Avenue","Presidio Heights","POINT (-122.45692739989582 37.78576442381873)"
"4603","04/12/2017",9960,"799 athens Street","Excelsior","POINT (-122.4330552326182 37.715491667507564)"
"4604","03/07/2018",80000,"1690 Beach Street","Marina","POINT (-122.43702438154179 37.80445408865451)"
"4605","12/31/2018",40000,"2566 33rd Avenue","Sunset/Parkside","POINT (-122.49045594811112 37.73930736038218)"
"4606","04/28/2021",NA,"2028 Scott Street","Pacific Heights","POINT (-122.43881403356448 37.7885914511527)"
"4607","",NA,"462 Kansas Street","Potrero Hill","POINT (-122.40350388481909 37.76394139852044)"
"4608","05/16/2018",75000,"17 White Street","Russian Hill","POINT (-122.41957647146914 37.797392827071604)"
"4609","",NA,"57 Chattanooga Street","Noe Valley","POINT (-122.4266801523621 37.75566709974184)"
"4611","03/06/2018",24349,"801 SANCHEZ Street","Noe Valley","POINT (-122.43008584538197 37.756277237776196)"
"4613","12/02/2019",134640,"511 Eureka Street","Noe Valley","POINT (-122.43760506183966 37.75406794454248)"
"4614","",NA,"2514 Polk Street","Russian Hill","POINT (-122.42254448315478 37.79989936882317)"
"4615","11/15/2016",20000,"1387 Hampshire Street","Mission","POINT (-122.40701945986363 37.750280578598954)"
"4616","",NA,"3144 Anza Street","Outer Richmond","POINT (-122.48188881995853 37.77832104810007)"
"4617","05/21/2021",20000,"262 Minerva Street","Oceanview/Merced/Ingleside","POINT (-122.4613236603326 37.71577599680472)"
"4618","09/20/2019",20000,"964 Hampshire Street","Mission","POINT (-122.40770459899669 37.75669292535453)"
"4619","",NA,"6411 California Street","Outer Richmond","POINT (-122.48629857362221 37.78380244825883)"
"4620","",NA,"213 Masonic Avenue","Lone Mountain/USF","POINT (-122.447386264896 37.77989742275549)"
"4621","07/09/2019",50000,"1661 Bush Street","Western Addition","POINT (-122.42458229042963 37.78813291017588)"
"4622","09/16/2020",NA,"821 Folsom Street","South of Market","POINT (-122.40165113426582 37.78161340110725)"
"4623","",NA,"1070 Vallejo Street","Nob Hill","POINT (-122.41494083369265 37.797839573793574)"
"4624","12/13/2018",7183.1,"1474 Sacramento Street","Nob Hill","POINT (-122.41716032728168 37.7920107223425)"
"4625","09/24/2019",91000,"3731 23RD Street","Noe Valley","POINT (-122.42614520481003 37.75335858570451)"
"4626","11/23/2020",NA,"3662 Mission Street","Bernal Heights","POINT (-122.42405227579091 37.73796431799355)"
"4627","",NA,"844 Colby Street","Portola","POINT (-122.41031035127448 37.71996963563265)"
"4628","08/20/2015",20000,"543 Athens Street","Excelsior","POINT (-122.43009676492271 37.71940168798573)"
"4630","06/09/2016",74000,"552 Jersey Street","Noe Valley","POINT (-122.43738513802259 37.750321670968454)"
"4631","",NA,"1547 Shafter Avenue","Bayview Hunters Point","POINT (-122.38977237311688 37.73046254368624)"
"4632","",NA,"524 Wisconsin Street","Potrero Hill","POINT (-122.39931611777435 37.76077067927148)"
"4634","",NA,"4543 18th Street","Castro/Upper Market","POINT (-122.44036555336429 37.76054158711459)"
"4635","",NA,"1801 Beach Street","Marina","POINT (-122.43937505760334 37.8040452245166)"
"4637","03/16/2022",30000,"51 Noe Street","Castro/Upper Market","POINT (-122.43346799734705 37.76831127868643)"
"4638","",NA,"1690 beach Street","Marina","POINT (-122.43702438154179 37.80445408865451)"
"4640","",NA,"2121 Sacramento Street","Pacific Heights","POINT (-122.42785760771987 37.790594459174514)"
"4641","06/28/2021",11500,"1629 Pierce Street","Japantown","POINT (-122.4364769162291 37.78504104475609)"
"4642","10/26/2016",25000,"145 Ellsworth Street","Bernal Heights","POINT (-122.41447100593103 37.74100516794026)"
"4643","11/09/2015",80000,"489 35th Avenue","Outer Richmond","POINT (-122.49551693683588 37.77986320789901)"
"4644","",NA,"575 Ivy Street","Hayes Valley","POINT (-122.42755489102669 37.776756809772984)"
"4645","11/02/2020",13340,"51 Albion Street","Mission","POINT (-122.4231746856523 37.765646505619245)"
"4646","07/28/2021",37500,"2459 Jackson Street","Pacific Heights","POINT (-122.43551900335936 37.79232880363814)"
"4647","",NA,"1393 39th Avenue","Sunset/Parkside","POINT (-122.49848527967525 37.76095225098483)"
"4648","",NA,"605 Edna Street","West of Twin Peaks","POINT (-122.44733979367355 37.73166679766086)"
"4649","11/21/2016",35000,"1849 24th Avenue","Sunset/Parkside","POINT (-122.48181538551337 37.75309275252181)"
"4650","06/08/2021",35000,"1925 Alemany Boulevard","Outer Mission","POINT (-122.43885165245484 37.72113906308704)"
"4651","06/05/2020",40000,"495 32nd Avenue","Outer Richmond","POINT (-122.49229145871034 37.779911671222685)"
"4652","",NA,"178 Sagamore Street","Oceanview/Merced/Ingleside","POINT (-122.45834616861552 37.71142398097899)"
"4653","",NA,"1743 Larkin Street","Russian Hill","POINT (-122.41970288923974 37.79386052290074)"
"4654","11/02/2015",22000,"600 24th Avenue","Outer Richmond","POINT (-122.483498092052 37.77813084744851)"
"4655","",NA,"2232 North Point Street","Marina","POINT (-122.44401582702366 37.802731494915726)"
"4657","",NA,"1510 Guerrero Street","Noe Valley","POINT (-122.42247546958086 37.746957756792675)"
"4658","",NA,"1114 Lake Street","Inner Richmond","POINT (-122.4713638719434 37.78640742101165)"
"4659","04/10/2017",85000,"114 Haight Street","Hayes Valley","POINT (-122.42410756858061 37.772946975628706)"
"4661","03/02/2017",60000,"830 Hyde Street","Nob Hill","POINT (-122.41687184341593 37.7885070294677)"
"4663","08/24/2021",65000,"130 Duncan Street","Noe Valley","POINT (-122.42307194246698 37.74636447479454)"
"4664","09/20/2021",40000,"1588 Funston Avenue","Inner Sunset","POINT (-122.47020156493586 37.758523357023535)"
"4666","11/05/2019",75000,"3430 22nd Street","Mission","POINT (-122.4239331669842 37.75515916552233)"
"4667","",NA,"1538 20th Street","Potrero Hill","POINT (-122.39669928119746 37.76003345765167)"
"4668","",NA,"1409 16th Avenue","Inner Sunset","POINT (-122.47381415268441 37.761617095179844)"
"4671","",NA,"939 Guerrero Street","Mission","POINT (-122.42321846170356 37.756236167280704)"
"4672","12/08/2017",16000,"5533 California Street","Outer Richmond","POINT (-122.47683762740412 37.784231415933036)"
"4673","01/05/2016",2070,"1730 48th Avenue","Sunset/Parkside","POINT (-122.50761139164089 37.75413635856877)"
"4674","",NA,"1770 pacific Avenue","Pacific Heights","POINT (-122.42437255234914 37.794705083235904)"
"4675","06/02/2021",71174.04,"170 Pfeiffer Street","North Beach","POINT (-122.40963889777854 37.80471742991425)"
"4677","",NA,"324 Connecticut Street","Potrero Hill","POINT (-122.39750756098782 37.762165028491516)"
"4678","",NA,"1248 34th Avenue","Sunset/Parkside","POINT (-122.4932452357934 37.76381690081149)"
"4679","",NA,"1607 46th Avenue","Sunset/Parkside","POINT (-122.50569912040456 37.75650356382649)"
"4680","",NA,"2404 Harrison Street","Mission","POINT (-122.41253396156054 37.75888328395673)"
"4681","",NA,"607 lisbon Street","Excelsior","POINT (-122.43606597892936 37.718718328930564)"
"4682","07/28/2017",59055,"213 upper Terrace","Castro/Upper Market","POINT (-122.44449448420909 37.76371650410315)"
"4683","",NA,"855 Haight Street","Haight Ashbury","POINT (-122.43629104412116 37.77134233797579)"
"4684","",NA,"1633 Washington Street","Russian Hill","POINT (-122.42016493122946 37.79337199185003)"
"4686","02/02/2021",19267,"2370 28th Avenue","Sunset/Parkside","POINT (-122.4853547555199 37.74320434477139)"
"4687","01/08/2019",31623,"111 Cresta Vista Drive","West of Twin Peaks","POINT (-122.45749520203184 37.73560707892778)"
"4688","05/07/2018",25000,"80 Raymond Avenue","Visitacion Valley","POINT (-122.40480318170552 37.71243979320432)"
"4689","11/12/2019",30000,"1767 Green Street","Marina","POINT (-122.42815713955659 37.79704297094046)"
"4690","01/09/2018",65000,"1326 Utah Street","Mission","POINT (-122.40534144438017 37.75268577362076)"
"4691","",NA,"1003 Stanyan Street","Inner Sunset","POINT (-122.45278411681079 37.76533912407309)"
"4692","",NA,"51 Jasper Place","North Beach","POINT (-122.40831247316217 37.800081700651035)"
"4693","",NA,"2412 Folsom Street","Mission","POINT (-122.4147127007685 37.758635375258116)"
"4694","02/23/2022",5000,"827 Garfield Street","Oceanview/Merced/Ingleside","POINT (-122.47015713524924 37.719628190025624)"
"4695","08/30/2019",21000,"1400 29th Avenue","Sunset/Parkside","POINT (-122.48768119325796 37.76114501439744)"
"4696","",NA,"78 Caine Avenue","Oceanview/Merced/Ingleside","POINT (-122.45088903500572 37.71696759035683)"
"4697","08/27/2021",35000,"520 Grant Avenue","Financial District/South Beach","POINT (-122.40576086158981 37.79169859738669)"
"4700","04/25/2018",58050,"357 26th Avenue","Outer Richmond","POINT (-122.48605498518577 37.782787410329995)"
"4701","02/19/2020",85000,"495 32nd Avenue","Outer Richmond","POINT (-122.49229145871034 37.779911671222685)"
"4702","",NA,"167 Divisadero Street","Haight Ashbury","POINT (-122.43680469264305 37.769874589687205)"
"4703","11/21/2017",55718.8,"1010 masonic Avenue","Haight Ashbury","POINT (-122.44566401371632 37.77192278878655)"
"4706","06/05/2017",62600,"26 Hill Street","Mission","POINT (-122.42165685963401 37.75609759118714)"
"4708","",NA,"233 Vicksburg Street","Noe Valley","POINT (-122.42856924513097 37.75211486773726)"
"4711","",NA,"1413 Golden Gate Avenue","Western Addition","POINT (-122.43388983017456 37.779296373580195)"
"4712","12/18/2015",7000,"43 Harrington Street","Outer Mission","POINT (-122.43526211207728 37.72554232815917)"
"4713","",NA,"2400 Buchanan Street","Pacific Heights","POINT (-122.43108884540013 37.79210657075921)"
"4714","09/08/2020",14450,"2720 41st Avenue","Sunset/Parkside","POINT (-122.49881591366243 37.73596133625955)"
"4715","05/26/2021",41500,"48 Rossi Avenue","Lone Mountain/USF","POINT (-122.45629631780845 37.778816094674234)"
"4716","02/14/2020",31500,"355 Grove Street","Hayes Valley","POINT (-122.42242352609836 37.777887192464256)"
"4717","04/03/2018",23500,"2040 Franklin Street","Pacific Heights","POINT (-122.4245726954303 37.793227990184086)"
"4718","12/16/2020",97500,"109 Noe Street","Castro/Upper Market","POINT (-122.43336907626947 37.76727541450692)"
"4719","",NA,"998 Corbett Avenue","Twin Peaks","POINT (-122.4440818011075 37.750587777437424)"
"4720","",NA,"281 Andover Street","Bernal Heights","POINT (-122.41647317205873 37.73937429609439)"
"4721","03/04/2022",50000,"1895 31st Avenue","Sunset/Parkside","POINT (-122.48925185302548 37.75196915319154)"
"4722","09/10/2021",75000,"74 Niagara Avenue","Outer Mission","POINT (-122.44294537183764 37.716612760935426)"
"4723","09/19/2016",63120,"2441 30th Avenue","Sunset/Parkside","POINT (-122.48746942184101 37.741756206220394)"
"4724","",NA,"1567 Alabama Street","Bernal Heights","POINT (-122.41044127067636 37.74744656608408)"
"4725","09/15/2021",8000,"1734 08th Avenue","Inner Sunset","POINT (-122.46465282054254 37.7559567101678)"
"4726","",NA,"4545 18th Street","Castro/Upper Market","POINT (-122.44039854600014 37.76053954135384)"
"4727","08/29/2018",214600,"2911 California Street","Pacific Heights","POINT (-122.4423743352629 37.78780125287391)"
"4728","",NA,"653 Capp Street","Mission","POINT (-122.41771055660703 37.75626527457247)"
"4729","05/14/2018",55845.06,"1574 church Street","Noe Valley","POINT (-122.42690392195529 37.74570173278964)"
"4730","10/13/2020",25000,"1751 Greenwich Street","Marina","POINT (-122.42849008497882 37.79986911117192)"
"4731","12/04/2020",25000,"525 Buena Vista West Avenue","Haight Ashbury","POINT (-122.44306373042492 37.76616764173432)"
"4732","",NA,"1662 Beach Street","Marina","POINT (-122.43658791631961 37.8046321430169)"
"4733","04/02/2018",0,"2455 Union Street","Marina","POINT (-122.43968075280067 37.79653499222453)"
"4734","12/15/2015",8586,"1080 Eddy Street","Western Addition","POINT (-122.4254769109453 37.782336202099536)"
"4735","",NA,"3605 20th Street","Mission","POINT (-122.42147676737515 37.75846475372739)"
"4736","10/08/2019",95000,"3937 17TH Street","Castro/Upper Market","POINT (-122.43373811973238 37.76254908384026)"
"4737","",NA,"1621 48th Avenue","Sunset/Parkside","POINT (-122.5078215523684 37.756168854570504)"
"4738","11/04/2016",132000,"209 Lincoln Way","Inner Sunset","POINT (-122.46021080422007 37.76613588723721)"
"4739","",NA,"8 Russian Hill Place","Nob Hill","POINT (-122.41507184738235 37.79790542845855)"
"4740","11/21/2017",150000,"728 Clipper Street","Noe Valley","POINT (-122.44107469204698 37.74865609697578)"
"4741","05/02/2016",30000,"2914 Fulton Street","Inner Richmond","POINT (-122.4629346712187 37.7737618024268)"
"4742","10/05/2018",33000,"928 Valencia Street","Mission","POINT (-122.42127492967055 37.758051363788134)"
"4743","",NA,"616 30th Avenue","Outer Richmond","POINT (-122.48990371878715 37.777564380717436)"
"4745","",NA,"861 South Van Ness Avenue","Mission","POINT (-122.41691313008229 37.759412880229775)"
"4746","",NA,"3039 24th Street","Mission","POINT (-122.41275722745353 37.75256402002886)"
"4747","08/03/2018",1e+05,"2814 harrison Street","Mission","POINT (-122.41191885574419 37.75233948738703)"
"4748","",NA,"1791 McAllister Street","Western Addition","POINT (-122.44145738786641 37.77738109642823)"
"4749","02/25/2022",15000,"131 Newman Street","Bernal Heights","POINT (-122.41752230475807 37.73779072024144)"
"4750","",NA,"272 11th Avenue","Inner Richmond","POINT (-122.46978890029858 37.78324699898183)"
"4751","",NA,"2621 Sacramento Street","Pacific Heights","POINT (-122.43608328563467 37.78955676084518)"
"4754","",NA,"2055 Green Street","Marina","POINT (-122.43291708449608 37.796439784893295)"
"4755","12/02/2019",45900,"1624 Washington Street","Russian Hill","POINT (-122.42005920910552 37.79344012554769)"
"4756","",NA,"1585 10th Avenue","Inner Sunset","POINT (-122.46706270344829 37.758732062109715)"
"4757","11/07/2018",10000,"1800 Franklin Street","Pacific Heights","POINT (-122.42415906715314 37.79117949818228)"
"4758","09/24/2021",85000,"929 Alabama Street","Mission","POINT (-122.411356617614 37.75699699177521)"
"4759","",NA,"649 Masonic Street","Lone Mountain/USF","POINT (-122.44642564276575 37.77534470609269)"
"4760","",NA,"3645 25th Street","Mission","POINT (-122.42203807227467 37.75039221644373)"
"4761","",NA,"9 Vega Street","Lone Mountain/USF","POINT (-122.44561429300664 37.78008263083147)"
"4763","02/14/2020",24000,"3270 21st Street","Mission","POINT (-122.42056485789782 37.75696812133995)"
"4765","",NA,"143 Louisburg Street","Oceanview/Merced/Ingleside","POINT (-122.44963192642642 37.72118924486344)"
"4766","12/27/2019",10000,"39 Colby Street","Portola","POINT (-122.41475154943066 37.73010301705075)"
"4767","",NA,"3041 California Street","Presidio Heights","POINT (-122.44445473938568 37.787537528231525)"
"4772","09/10/2015",33000,"3743 San Bruno Avenue","Visitacion Valley","POINT (-122.39975841607617 37.71495574927275)"
"4774","",NA,"5 Lowell Street","Excelsior","POINT (-122.44631531507173 37.71135958717467)"
"4775","08/09/2021",23000,"2945 Baker Street","Marina","POINT (-122.44591873624302 37.79811987449693)"
"4776","",NA,"3644 Ulloa Street","Sunset/Parkside","POINT (-122.4953564449624 37.74034282879089)"
"4777","08/06/2020",8620.57,"2115 Golden Gate Avenue","Lone Mountain/USF","POINT (-122.44548509862979 37.77782341907591)"
"4778","",NA,"744 Hyde Street","Nob Hill","POINT (-122.41670473072044 37.787682268151535)"
"4779","",NA,"2300 26th Avenue","Sunset/Parkside","POINT (-122.48329529270781 37.74450353263527)"
"4780","",NA,"2100 Alemany Boulevard","Outer Mission","POINT (-122.44144885957836 37.71864797647092)"
"4781","",NA,"378 Mangels Avenue","West of Twin Peaks","POINT (-122.4460818150776 37.733111458079485)"
"4783","",NA,"1374 Natoma Street","Mission","POINT (-122.41849180923955 37.76720014373274)"
"4784","06/26/2018",15000,"2072 Green Street","Marina","POINT (-122.43318823289961 37.79646016554341)"
"4785","",NA,"453 10th Avenue","Inner Richmond","POINT (-122.46853847984123 37.77980969511749)"
"4786","11/05/2019",75000,"3426 22nd Street","Mission","POINT (-122.42388605906409 37.75516188602616)"
"4787","06/26/2018",7000,"550 Flood Avenue","West of Twin Peaks","POINT (-122.45226191536476 37.72989920570148)"
"4788","",NA,"39 Girard Street","Portola","POINT (-122.40635815139879 37.73168330777116)"
"4789","",NA,"1756 Fell Street","Lone Mountain/USF","POINT (-122.44681637942617 37.77291197482633)"
"4790","",NA,"2442 29th Avenue","Sunset/Parkside","POINT (-122.48633121131734 37.74177174062418)"
"4791","05/11/2022",58000,"765 Cole Street","Haight Ashbury","POINT (-122.45031878660875 37.76735553282116)"
"4793","08/30/2021",37000,"1314 Page Street","Haight Ashbury","POINT (-122.44252206038149 37.77156190546039)"
"4794","",NA,"1878 24th Avenue","Sunset/Parkside","POINT (-122.48171151814127 37.75258013393737)"
"4795","01/03/2020",30000,"4013 CESAR CHAVEZ Street","Noe Valley","POINT (-122.42963634878393 37.747521444133)"
"4797","",NA,"1526 Vallejo Street","Russian Hill","POINT (-122.42246735379197 37.796869323427515)"
"4798","06/16/2022",62500,"1540 Clay Street","Russian Hill","POINT (-122.41838440538504 37.792757515853076)"
"4799","10/04/2019",35000,"210 lake Merced Hill Street","Lakeshore","POINT (-122.48424805771599 37.71198541787046)"
"4800","10/13/2021",20000,"1442 40th Avenue","Sunset/Parkside","POINT (-122.49941868569663 37.75990169409978)"
"4803","",NA,"779 San Jose Avenue","Bernal Heights","POINT (-122.42305881970042 37.74265856031081)"
"4805","",NA,"2630 Great Highway","Sunset/Parkside","POINT (-122.50634195940285 37.737404261587336)"
"4806","11/09/2018",7000,"818 Green Street","Russian Hill","POINT (-122.41267523480873 37.79908022708557)"
"4807","08/02/2021",47000,"245 Hamilton Street","Portola","POINT (-122.410273365212 37.72795190416004)"
"4808","02/01/2016",60000,"1189 De Haro Street","Potrero Hill","POINT (-122.40062496686065 37.7548455662043)"
"4809","",NA,"124 Dorado Terrace","West of Twin Peaks","POINT (-122.46102211849202 37.727041695552614)"
"4810","",NA,"2010 Lombard Street","Marina","POINT (-122.43467369688123 37.80011515525544)"
"4811","",NA,"90 Norwich Street","Bernal Heights","POINT (-122.4117752763866 37.745252178310615)"
"4812","",NA,"29 Campbell Avenue","Visitacion Valley","POINT (-122.39989851630602 37.7152787249382)"
"4814","",NA,"1677 16th Avenue","Inner Sunset","POINT (-122.47359168882537 37.75662086804728)"
"4815","02/03/2020",55000,"518 Presidio Avenue","Presidio Heights","POINT (-122.4467281241049 37.78703821523011)"
"4816","07/12/2021",45000,"38 Parnassus Avenue","Haight Ashbury","POINT (-122.44860729095875 37.76504870461433)"
"4817","",NA,"3334 San Bruno Avenue","Portola","POINT (-122.40067141145596 37.7199489560922)"
"4818","12/18/2015",8000,"977 Pine Street","Nob Hill","POINT (-122.41183383078314 37.79070673347594)"
"4819","",NA,"1006 HOLLISTER Avenue","Bayview Hunters Point","POINT (-122.39075208044832 37.7188249658737)"
"4820","",NA,"731 Grove Street","Hayes Valley","POINT (-122.42861246361434 37.777092190012276)"
"4821","08/02/2018",69348.6,"1967 Hayes Street","Lone Mountain/USF","POINT (-122.44875999973328 37.77357593192032)"
"4822","",NA,"704 Broderick Street","Western Addition","POINT (-122.43984709830555 37.776773324882065)"
"4823","08/03/2020",45000,"154 08th Avenue","Inner Richmond","POINT (-122.4667353491985 37.785562998726)"
"4824","",NA,"212 Elsie Street","Bernal Heights","POINT (-122.41907044919712 37.74084234856516)"
"4825","",NA,"1222 PALOU Avenue","Bayview Hunters Point","POINT (-122.38389206868476 37.73002980436752)"
"4826","09/26/2018",50240,"399 Ellington Avenue","Outer Mission","POINT (-122.44670835449261 37.712209456424915)"
"4829","",NA,"118 Otsego Avenue","Outer Mission","POINT (-122.4398498108243 37.72570695034709)"
"4830","",NA,"1268 York Street","Mission","POINT (-122.40813389447376 37.75178299289453)"
"4831","",NA,"2727 Gough Street","Marina","POINT (-122.42737422982071 37.79842430063532)"
"4832","",NA,"26 Bonita Street","Russian Hill","POINT (-122.4224074689453 37.79735950117716)"
"4833","",NA,"1284 Pacific Avenue","Nob Hill","POINT (-122.4163558757005 37.79574138386562)"
"4834","03/26/2020",118000,"164 San Carlos Street","Mission","POINT (-122.42007789978948 37.76077448955835)"
"4835","",NA,"153 Bartlett Street","Mission","POINT (-122.41975681826028 37.754531345648104)"
"4837","",NA,"1780 McAllister Street","Western Addition","POINT (-122.44132270737322 37.77745328332908)"
"4839","02/04/2020",75000,"2753 Bryant Street","Mission","POINT (-122.4088766817423 37.750364219147926)"
"4840","02/22/2021",30000,"406 Campbell Avenue","Visitacion Valley","POINT (-122.40405329193995 37.714515315664755)"
"4841","05/13/2019",30000,"275 Grattan Street","Haight Ashbury","POINT (-122.45201806028373 37.76369743892282)"
"4842","",NA,"29  Salmon Street","Nob Hill","POINT (-122.41263622358356 37.79643250825459)"
"4843","01/24/2020",25000,"300 Buchanan Street","Hayes Valley","POINT (-122.42715708507431 37.77262321553924)"
"4844","03/23/2020",40000,"348 Dolores Street","Castro/Upper Market","POINT (-122.42643436040932 37.76379737732186)"
"4847","08/22/2016",55000,"2749 Gough Street","Marina","POINT (-122.42740843587761 37.7985936039614)"
"4848","04/27/2017",29630,"308 lawton Street","Inner Sunset","POINT (-122.4661174570094 37.758468541103575)"
"4849","08/15/2018",193750,"56 Mason Street","Tenderloin","POINT (-122.40918921274312 37.78386498910406)"
"4850","",NA,"947 Plymouth Avenue","Oceanview/Merced/Ingleside","POINT (-122.4561670374078 37.719089354686005)"
"4852","06/06/2022",80000,"2778 39th Avenue","Sunset/Parkside","POINT (-122.49660523905489 37.73510134398441)"
"4853","",NA,"225 Farallones Street","Oceanview/Merced/Ingleside","POINT (-122.45997636032769 37.71402649054095)"
"4855","",NA,"1710 Larkin Street","Russian Hill","POINT (-122.41959026773804 37.7936373818756)"
"4856","",NA,"3957 Cesar Chavez Street","Noe Valley","POINT (-122.42831117179861 37.747599720554305)"
"4858","03/20/2017",86250,"115 Bartlett Street","Mission","POINT (-122.41980929114588 37.75508053819139)"
