"","Address","File.Date","Neighborhoods...Analysis.Boundaries","Location"
"43090","100 Block Of Ward  Street","01/06/1997","Visitacion Valley","(37.718850321299264, -122.40161236270357)"
"43091","1000 Block Of Dolores  Street","09/26/1997","Noe Valley","(37.75263326441004, -122.42531147949312)"
"43092","700 Block Of 30th  Avenue","05/11/1998","Outer Richmond","(37.77512478154486, -122.48974763863394)"
"43093","3300 Block Of 21st  Street","05/11/2000","Mission","(37.756835400796255, -122.42222407482264)"
"43094","300 Block Of Missouri  Street","06/25/1997","Potrero Hill","(37.761940021211736, -122.39646598077817)"
"43095","500 Block Of Cole  Street","01/29/1997","Haight Ashbury","(37.77005413149125, -122.45031223861521)"
"43096","700 Block Of Shrader  Street","01/20/1999","Haight Ashbury","(37.76798169303212, -122.45158159847722)"
"43097","600 Block Of Clayton  Street","10/18/1999","Haight Ashbury","(37.76933124034433, -122.44848424904468)"
"43098","800 Block Of Corbett  Avenue","12/20/1999","Twin Peaks","(37.75336935274297, -122.44336042212372)"
"43100","900 Block Of San Jose  Avenue","11/23/1998","Glen Park","(37.74008179244885, -122.42421374560465)"
"43101","400 Block Of Duncan  Street","11/02/1999","Noe Valley","(37.74590363434615, -122.43006164335884)"
"43102","600 Block Of Greenwich","09/23/1999","North Beach","(37.80213772944629, -122.41090156828716)"
"43105","400 Block Of Capp  Street","09/24/1998","Mission","(37.75949966790144, -122.41804141186314)"
"43106","200 Block Of Willard North  Street","03/10/1998","Lone Mountain/USF","(37.775951069854564, -122.45656794978429)"
"43109","200 Block Of Carl  Street","09/03/1998","Inner Sunset","(37.7653378936394, -122.45358122141951)"
"43110","0 Block Of Pueblo  Street","10/06/1997","Visitacion Valley","(37.708779952853725, -122.41701054906845)"
"43111","100 Block Of Guttenberg  Street","11/20/1997","Excelsior","(37.7111480529514, -122.44365601315467)"
"43112","2100 Block Of 29th  Avenue","06/27/1997","Sunset/Parkside","(37.74723985536765, -122.48672821073006)"
"43113","700 Block Of Ofarrell  Street","07/28/1999","Tenderloin","(37.78527159669424, -122.41708056008484)"
"43115","500 Block Of Stanyan  Street","02/26/1997","Golden Gate Park","(37.77241279019681, -122.45418416546995)"
"43116","3700 Block Of Alemany  Boulevard","12/18/1998","Oceanview/Merced/Ingleside","(37.711700864869556, -122.46571162382914)"
"43117","3300 Block Of 17th  Street","09/04/1998","Mission","(37.76340241450543, -122.41997277846149)"
"43119","2400 Block Of 19th  Avenue","01/05/1999","West of Twin Peaks","(37.74212125226146, -122.4755287251045)"
"43120","200 Block Of 27th  Street","02/12/1999","Noe Valley","(37.74696499810303, -122.42582902950357)"
"43122","100 Block Of Lyon  Street","08/25/1997","Haight Ashbury","(37.7720376761744, -122.44228292706498)"
"43123","0 Block Of Bannam  Place","08/06/1997","North Beach","(37.80024641150467, -122.40782267487837)"
"43124","500 Block Of Birch  Street","08/24/1999","Hayes Valley",""
"43125","1300 Block Of Fulton  Street","10/07/1998","Hayes Valley","(37.77674995108666, -122.43901064169374)"
"43126","1400 Block Of 25th  Avenue","04/09/1998","Sunset/Parkside","(37.760482897691695, -122.48335761553578)"
"43128","0 Block Of Dorland  Street","08/11/1999","Mission","(37.76227873599708, -122.42504662699389)"
"43129","4500 Block Of California  Street","11/14/1997","Inner Richmond","(37.78478402895607, -122.46616337720252)"
"43130","2600 Block Of 44th  Avenue","04/05/1999","Sunset/Parkside","(37.73721056160199, -122.50214971120145)"
"43131","0 Block Of Los Palmos  Drive","04/06/1998","West of Twin Peaks","(37.73496391472535, -122.44749407882834)"
"43133","100 Block Of Sanchez  Street","01/04/1998","Castro/Upper Market","(37.76639626543652, -122.4310761349375)"
"43135","2500 Block Of California  Street","10/08/1998","Pacific Heights","(37.788592403796265, -122.4363073808849)"
"43136","5300 Block Of Mission  Street","04/28/2000","Excelsior","(37.71424769512818, -122.44300356878382)"
"43137","500 Block Of 03rd  Street","04/29/1997","South of Market","(37.780527477464254, -122.39484820822115)"
"43138","1800 Block Of 48th  Avenue","11/25/1998","Sunset/Parkside","(37.75193637132029, -122.50748100440408)"
"43139","500 Block Of Arballo  Drive","10/30/1997","Lakeshore","(37.71691552646512, -122.48324007014192)"
"43140","400 Block Of Hayes  Street","02/05/1998","Hayes Valley","(37.77678554278779, -122.4237459263182)"
"43141","400 Block Of Valencia  Street","12/11/1997","Mission","(37.76613016683555, -122.42200406305673)"
"43143","300 Block Of Magels  Avenue","05/04/1998","West of Twin Peaks",""
"43144","300 Block Of Capp  Street","06/09/1997","Mission","(37.761101313584554, -122.41819471873946)"
"43145","600 Block Of Naples  Street","03/07/2000","Excelsior","(37.71852124240598, -122.43297027478619)"
"43146","3600 Block Of Mission  Street","06/11/1997","Bernal Heights","(37.73812476691532, -122.42399446792334)"
"43147","600 Block Of Central  Avenue","12/17/1997","Lone Mountain/USF","(37.775551338141575, -122.4446863749069)"
"43148","1100 Block Of De Haro  Street","05/02/2000","Potrero Hill","(37.75590673706785, -122.40074761089623)"
"43150","1300 Block Of Mcallister  Street","06/15/2000","Western Addition","(37.778317626268716, -122.43422986355611)"
"43151","100 Block Of 12th  Avenue","02/11/2000","Inner Richmond","(37.78545586028105, -122.47104804261922)"
"43152","0 Block Of Hoffman  Avenue","05/06/1999","Noe Valley","(37.753702850729496, -122.44089169999829)"
"43153","2900 Block Of 19th  Street","12/17/1998","Mission",""
"43154","600 Block Of Burnett  Avenue","09/15/1997","Twin Peaks","(37.751349115485525, -122.44453393688829)"
"43156","500 Block Of 28th  Street","10/23/1998","Noe Valley","(37.744814832479946, -122.43457297562207)"
"43157","1400 Block Of Valenicia  Street","02/14/2000","Mission","(37.74970617936658, -122.42043035854046)"
"43158","600 Block Of Corbett  Avenue","01/21/2000","Twin Peaks","(37.75574621348947, -122.44309023573722)"
"43159","800 Block Of Harrison  Street","07/30/1998","South of Market","(37.779911813330884, -122.40072976699804)"
"43160","300 Block Of Buchanan  Street","01/14/1999","Hayes Valley","(37.7727633052054, -122.42720942312097)"
"43162","1500 Block Of Cabrillo  Street","03/07/2000","Outer Richmond","(37.774852296084205, -122.47521854075052)"
"43163","800 Block Of 14th  Street","05/17/2000","Castro/Upper Market","(37.76756184521529, -122.43174518113828)"
"43164","700 Block Of Pine  Street","08/21/1998","Nob Hill","(37.791251493364435, -122.40769168237131)"
"43165","0 Block Of Walter  Street","10/20/1997","Castro/Upper Market","(37.76838904854499, -122.43238179010532)"
"43166","500 Block Of Ofarrell  Street","06/28/1999","Tenderloin","(37.785686031545204, -122.41379344025961)"
"43167","1400 Block Of Shotwell  Street","03/19/1997","Bernal Heights","(37.745796697861756, -122.41499284145064)"
"43168","1500 Block Of Greenwich  Street","08/07/1997","Marina","(37.800310640519356, -122.42517996012477)"
"43170","700 Block Of 22nd  Avenue","06/29/1998","Outer Richmond","(37.773649830404345, -122.48104581296165)"
"43171","300 Block Of Hermann","06/02/2000","Hayes Valley","(37.77013896517939, -122.43089531754212)"
"43172","0 Block Of Dixie  Alley","12/29/1999","Twin Peaks","(37.754098475756116, -122.44353647831116)"
"43173","500 Block Of Brunswick  Street","02/04/1999","Excelsior","(37.710183954028906, -122.44441936209428)"
"43174","500 Block Of Paris  Street","08/13/1999","Excelsior","(37.72004798011165, -122.4361705282223)"
"43175","500 Block Of Cambridge  Street","10/27/1997","Portola","(37.724618576709716, -122.41765772846078)"
"43176","300 Block Of 10th  Avenue","05/27/1997","Inner Richmond","(37.78178647377939, -122.46863417386875)"
"43177","2800 Block Of Steiner  Street","07/21/1997","Marina","(37.795482692755925, -122.43685532488071)"
"43178","100 Block Of Carl  Street","06/15/2000","Haight Ashbury","(37.76570789785305, -122.45068050973488)"
"43181","200 Block Of Cumberland  Street","09/14/1998","Castro/Upper Market","(37.75882928744853, -122.42913590459304)"
"43182","0 Block Of 29th  Street","12/14/1998","Bernal Heights","(37.74400854516452, -122.42143521441506)"
"43183","700 Block Of 36th  Avenue","03/23/1998","Outer Richmond","(37.77483069103967, -122.49618705986947)"
"43184","0 Block Of Mccoppin","03/17/1997","Mission","(37.7716609482497, -122.42142887011312)"
"43185","1500 Block Of Pacific  Avenue","11/05/1999","Russian Hill","(37.7951325052643, -122.42075919803023)"
"43187","400 Block Of Ashbury  Street","05/29/1998","Haight Ashbury","(37.77140619064924, -122.44721755984963)"
"43188","3500 Block Of 17th  Street","11/26/1997","Mission","(37.76309935344067, -122.42509386232449)"
"43189","1000 Block Of Treat  Avenue","12/15/1998","Mission","(37.75336866979522, -122.41306803227269)"
"43190","400 Block Of Hoffman  Avenue","04/10/1998","Noe Valley","(37.75010142790584, -122.44053729421047)"
"43191","400 Block Of 14th  Street","02/13/1998","Mission","(37.768073060115654, -122.42330543423493)"
"43192","900 Block Of York  Street","10/16/1997","Mission","(37.7568529170936, -122.4085752559273)"
"43193","2300 Block Of Fulton  Street","12/02/1999","Golden Gate Park","(37.774620809233696, -122.45576809118946)"
"43194","200 Block Of States  Street","06/13/2000","Castro/Upper Market","(37.76346380503083, -122.43905082630926)"
"43195","4100 Block Of Anza  Street","07/02/1998","Outer Richmond","(37.777798347796896, -122.49263133538403)"
"43196","600 Block Of Silver  Avenue","07/25/1997","Excelsior","(37.728849146287025, -122.42213125820177)"
"43197","200 Block Of Filbert  Street","10/28/1999","North Beach",""
"43198","1400 Block Of 07th  Avenue","10/20/1997","Inner Sunset","(37.761337098318116, -122.46397694573999)"
"43199","4400 Block Of 20th  Street","11/30/1998","Castro/Upper Market","(37.75752373053441, -122.43742275620995)"
"43200","0 Block Of Broderick  Street","03/08/2000","Haight Ashbury","(37.77059137077322, -122.43861294480428)"
"43201","500 Block Of Barlett  Street","03/29/1999","Mission",""
"43202","800 Block Of Post  Street","06/02/1998","Nob Hill","(37.78734952961144, -122.41581706204127)"
"43203","300 Block Of Valencia  Street","01/02/1997","Mission",""
"43205","700 Block Of 36th  Avenue","07/09/1999","Outer Richmond","(37.77483069103967, -122.49618705986947)"
"43206","1300 Block Of Market  Street","04/20/1999","Tenderloin","(37.777044489388786, -122.41693056537846)"
"43208","100 Block Of Cambon  Drive","03/11/1999","Lakeshore","(37.71666589768526, -122.47424222974327)"
"43209","500 Block Of 03rd  Avenue","10/29/1999","Inner Richmond","(37.778307502295085, -122.46086380350653)"
"43210","100 Block Of Varennes  F","09/16/1997","North Beach","(37.80120538379233, -122.4068942939776)"
"43211","500 Block Of Athens  Street","12/23/1998","Excelsior","(37.71931026039585, -122.4301885968848)"
"43212","200 Block Of Roanoke  Street","06/19/1998","Glen Park","(37.73529346338381, -122.42997219284004)"
"43213","200 Block Of Leland  Avenue","02/23/1999","Visitacion Valley",""
"43216","100 Block Of Connecticut  Street","08/13/1997","Potrero Hill","(37.76443305118602, -122.39767504572751)"
"43217","300 Block Of Divisadero  Street","05/10/1999","Haight Ashbury","(37.77266257886126, -122.43737661362057)"
"43218","1400 Block Of 42nd  Avenue","11/12/1997","Sunset/Parkside","(37.7596805886627, -122.50157252062972)"
"43219","1600 Block Of Mcallister  Street","05/06/1998","Western Addition","(37.777690480929124, -122.43919621212981)"
"43222","400 Block Of Noe  Street","03/24/1997","Castro/Upper Market","(37.762219359339575, -122.43291026686241)"
"43223","100 Block Of Alpine  Terrace","09/18/1998","Castro/Upper Market","(37.7681367796448, -122.43738537406031)"
"43224","1300 Block Of 11th  Avenue","03/06/1998","Inner Sunset","(37.76301205020558, -122.46838606087141)"
"43225","200 Block Of Hyde  Street","08/18/1998","Tenderloin","(37.783050336475576, -122.41578820565589)"
"43226","500 Block Of Brunswick  Street","02/11/1999","Excelsior","(37.710183954028906, -122.44441936209428)"
"43229","1600 Block Of Judah  Street","06/01/1999","Sunset/Parkside","(37.76158237490494, -122.47967135118836)"
"43231","3200 Block Of Vicente  Street","02/03/1998","Sunset/Parkside","(37.7381683151745, -122.5016785103586)"
"43232","400 Block Of Dolores  Street","06/08/1999","Castro/Upper Market","(37.76238242369661, -122.42608068140969)"
"43234","200 Block Of 26th  Avenue","11/03/1997","Outer Richmond","(37.784765303892016, -122.48615624848188)"
"43235","4300 Block Of Irving  Street","03/06/2000","Sunset/Parkside","(37.76235609356902, -122.50445202784054)"
"43236","600 Block Of Monterey  Boulevard","05/25/2000","West of Twin Peaks","(37.731580821754065, -122.4500068945884)"
"43237","1800 Block Of Filbert  Street","09/16/1999","Marina","(37.79875293235113, -122.42992471521548)"
"43239","2800 Block Of Gough  Street","08/18/1998","Marina","(37.79953197020456, -122.42755130437097)"
"43240","3600 Block Of Mission  Street","09/20/1999","Bernal Heights","(37.73812476691532, -122.42399446792334)"
"43244","800 Block Of Geary  Street","11/09/1999","Tenderloin",""
"43245","500 Block Of Leavenworth","05/26/2000","Tenderloin","(37.786051146579986, -122.41471192848003)"
"43246","100 Block Of Tapia  Drive","04/21/1998","Lakeshore","(37.72055085094381, -122.48120591223122)"
"43247","2800 Block Of 22nd  Street","03/17/1999","Mission","(37.755860041516215, -122.41173525664733)"
"43248","300 Block Of Coleridge  Street","06/16/2000","Bernal Heights","(37.74094722844281, -122.42150291070385)"
"43249","2500 Block Of 19th  Street","01/10/2000","Potrero Hill","(37.760631167314486, -122.40756496116556)"
"43250","500 Block Of Pennsylvania  Avenue","10/22/1999","Potrero Hill","(37.75892635039736, -122.3932436791675)"
"43251","1900 Block Of Oakdale  Avenue","05/01/2000","Bayview Hunters Point","(37.73831535575709, -122.39687718001747)"
"43252","300 Block Of Topeka  Avenue","01/06/1998","Bayview Hunters Point","(37.73153625655982, -122.39535303284515)"
"43253","2500 Block Of 46th  Avenue","06/09/1998","Sunset/Parkside","(37.7389787254273, -122.50442446503786)"
"43254","0 Block Of Whitney  Street","04/16/1999","Glen Park","(37.74084192276008, -122.42776580532546)"
"43255","1800 Block Of Cabrillo  Street","06/18/1998","Outer Richmond","(37.774705545871306, -122.47843592180567)"
"43256","0 Block Of Majestic  Avenue","12/23/1999","Oceanview/Merced/Ingleside","(37.717668909740475, -122.45131600164463)"
"43257","300 Block Of Capp  Street","03/10/2000","Mission","(37.761101313584554, -122.41819471873946)"
"43258","800 Block Of Greenwich  Street","01/29/1998","Russian Hill","(37.80184214792959, -122.41325989653753)"
"43259","700 Block Of 10th  Avenue","12/02/1997","Inner Richmond","(37.774238921403644, -122.46809117488247)"
"43260","1000 Block Of Shotwell  Street","06/03/1998","Mission","(37.75163831433032, -122.41509330984468)"
"43261","300 Block Of Panorama  Drive","09/09/1999","Twin Peaks","(37.75029353166491, -122.45212784468139)"
"43262","0 Block Of Stoneford","04/17/1997","Excelsior",""
"43263","900 Block Of Ingerson  Avenue","03/02/2000","Bayview Hunters Point","(37.71832114911569, -122.39158522964918)"
"43266","200 Block Of Carl  Street","09/22/1998","Inner Sunset","(37.7653378936394, -122.45358122141951)"
"43268","0 Block Of Prosper  Street","05/22/1997","Castro/Upper Market","(37.7635135945115, -122.43162256395934)"
"43269","4300 Block Of 24th  Street","10/17/1997","Noe Valley","(37.75093244107575, -122.44008163593415)"
"43270","2100 Block Of Judah  Street","09/04/1998","Sunset/Parkside","(37.76134643172677, -122.48503227803879)"
"43271","3400 Block Of 26th  Street","05/16/2000","Mission","(37.74899008283973, -122.41897830097764)"
"43272","0 Block Of Potomac  Street","03/18/1998","Haight Ashbury","(37.77037696615236, -122.43261974080332)"
"43273","400 Block Of Lisbon  Street","01/08/1997","Excelsior","(37.7212225687691, -122.4341956546902)"
"43274","2900 Block Of Washington  Street","10/08/1998","Pacific Heights","(37.790647460285015, -122.44181936732365)"
"43275","300 Block Of 21st  Avenue","02/17/1999","Outer Richmond","(37.78124627516892, -122.48052032060185)"
"43276","200 Block Of Collingwood  Street","04/14/1997","Castro/Upper Market","(37.75842288102915, -122.43588234340938)"
"43278","1300 Block Of Florida  Street","08/12/1998","Mission","(37.75034468279563, -122.40983808004661)"
"43279","1300 Block Of Pacific  Avenue","10/22/1997","Russian Hill","(37.79554465054496, -122.41764930459631)"
"43281","0 Block Of Otsego  Avenue","06/04/1999","Outer Mission","(37.72658832106488, -122.43920460452932)"
"43282","2400 Block Of 32nd  Avenue","03/02/2000","Sunset/Parkside","(37.74150328422247, -122.48955513445783)"
"43283","1200 Block Of Polk  Street","01/22/1999","Nob Hill","(37.7884608720737, -122.42025865910762)"
"43284","0 Block Of Nordhoff  Street","03/06/1998","West of Twin Peaks","(37.73379225897571, -122.44089914516967)"
"43286","500 Block Of Hayes  Street","01/16/1998","Hayes Valley","(37.77657593362467, -122.42538852414047)"
"43287","900 Block Of Ellis  Street","01/22/1997","Western Addition","(37.783721610087966, -122.42183045390948)"
"43288","1900 Block Of Broadway  Street","09/14/1998","Pacific Heights","(37.79500027609029, -122.42916688257607)"
"43289","0 Block Of Cambon  Drive","04/28/1997","Lakeshore","(37.71831044039053, -122.47451574684638)"
"43290","6100 Block Of California  Street","07/01/1998","Outer Richmond","(37.78395506846058, -122.48340310056557)"
"43293","2300 Block Of Pacific  Avenue","05/06/1998","Pacific Heights",""
"43294","0 Block Of Grand View  Avenue","04/08/1999","Twin Peaks","(37.75675463975515, -122.44063899630468)"
"43295","2300 Block Of Francisco","05/05/2000","Marina","(37.80080197382064, -122.44386944628218)"
"43296","1700 Block Of 15th  Street","09/25/1998","Mission","(37.76643528179485, -122.42376978546115)"
"43297","300 Block Of 28th  Avenue","04/10/2000","Outer Richmond","(37.78280582500154, -122.48815123033397)"
"43298","3600 Block Of Moraga  Street","04/15/1998","Sunset/Parkside","(37.75497796329699, -122.50178369231627)"
"43299","0 Block Of Parnassus  Street","05/14/1997","Haight Ashbury","(37.76495118405936, -122.44910534552375)"
"43300","600 Block Of Arguello  Boulevard","02/13/1998","Lone Mountain/USF","(37.778670753138755, -122.45868475823933)"
"43301","1100 Block Of Alabama  Street","04/26/1999","Mission","(37.753485830687225, -122.41104139324008)"
"43302","0 Block Of Krausgrill  Place","02/18/1997","North Beach","(37.80164288599398, -122.40897022684794)"
"43303","2100 Block Of Washington  Street","12/18/1997","Pacific Heights","(37.79232099015961, -122.42862571473832)"
"43304","800 Block Of 44th  Avenue","03/21/2000","Outer Richmond","(37.772572789993916, -122.50461230245017)"
"43305","200 Block Of Collingwood  Street","07/11/1997","Castro/Upper Market","(37.75842288102915, -122.43588234340938)"
"43306","200 Block Of Onondaga  Street","04/09/1997","Outer Mission","(37.7229469947536, -122.44199213761115)"
"43307","500 Block Of Gates  Street","01/14/1998","Bernal Heights","(37.73651741983174, -122.41415661898598)"
"43309","800 Block Of 45th  Avenue","02/22/1999","Outer Richmond","(37.772523941306915, -122.50567910991796)"
"43310","2200 Block Of Sacramento  Street","07/24/1998","Pacific Heights","(37.79035578368587, -122.4299145474282)"
"43311","1200 Block Of 04th  Avenue","04/13/1999","Inner Sunset",""
"43312","100 Block Of Webster  Street","04/13/2000","Hayes Valley","(37.771616541002764, -122.42866107517416)"
"43313","600 Block Of Natoma  Street","05/28/1998","South of Market","(37.77753863918664, -122.41104811087241)"
"43314","2000 Block Of Green  Street","03/22/1999","Marina","(37.79647070004523, -122.43283690330713)"
"43316","2400 Block Of 47th  Avenue","04/10/1997","Sunset/Parkside","(37.74078772584807, -122.50562537253256)"
"43317","300 Block Of Judah  Street","12/28/1998","Inner Sunset","(37.76219842020145, -122.46564770399395)"
"43318","0 Block Of Higuera  Avenue","04/15/1999","Lakeshore","(37.718541712161624, -122.48388700725143)"
"43320","1100 Block Of Rhode Island  Street","05/04/1999","Potrero Hill","(37.75584570468629, -122.40171094723011)"
"43321","1300 Block Of Sanchez  Street","02/09/1998","Noe Valley","(37.74796336610414, -122.42930826378613)"
"43322","3100 Block Of Buchanan  Street","05/11/2000","Marina","(37.79913742713152, -122.43253380531101)"
"43323","100 Block Of Wayland  Street","05/12/1998","Portola","(37.72630333116193, -122.4036015357886)"
"43324","2500 Block Of 22nd  Avenue","10/09/1997","Sunset/Parkside","(37.74011302800372, -122.47870937214935)"
"43325","1200 Block Of Grant  Avenue","04/18/1997","North Beach","(37.79832092885032, -122.40711588312455)"
"43326","2900 Block Of Webster  Street","08/11/1997","Marina","(37.797764048546384, -122.43394121733927)"
"43328","1300 Block Of Post  Street","11/22/1999","Western Addition",""
"43329","200 Block Of Prentiss  Street","01/22/1998","Bernal Heights","(37.739935277611465, -122.41208493694293)"
"43331","0 Block Of Exeter  Street","05/23/2000","Bayview Hunters Point","(37.722169342454514, -122.39867752799542)"
"43333","1000 Block Of Capp  Street","11/09/1998","Mission","(37.749905845612886, -122.41712487554675)"
"43335","300 Block Of 24th  Avenue","06/02/1999","Outer Richmond","(37.783003752733606, -122.48386993964085)"
"43337","400 Block Of Ashbury  Street","05/10/2000","Haight Ashbury","(37.77140619064924, -122.44721755984963)"
"43339","2600 Block Of 18th  Avenue","12/03/1998","West of Twin Peaks","(37.738423841936914, -122.47429864825988)"
"43340","500 Block Of 28th  Avenue","11/23/1998","Outer Richmond","(37.778983741525344, -122.48787543076726)"
"43341","1600 Block Of Alabama  Street","03/07/1997","Bernal Heights","(37.74594722005873, -122.41053151608757)"
"43342","0 Block Of 14th  Avenue","11/05/1998","Seacliff","(37.78674057950159, -122.47328787498546)"
"43343","1200 Block Of Greenwich  Street","10/23/1997","Russian Hill","(37.80089955515656, -122.42074723203652)"
"43344","600 Block Of 27th  Avenue","03/18/1999","Outer Richmond","(37.77713624689265, -122.48667029859294)"
"43346","0 Block Of Los Palmos  Drive","01/13/1998","West of Twin Peaks","(37.73496391472535, -122.44749407882834)"
"43351","100 Block Of Divisadero  Street","10/14/1998","Haight Ashbury","(37.7696718492265, -122.4367186025268)"
"43355","4200 Block Of 26th  Avenue","02/22/2000","Noe Valley","(37.74802975998239, -122.4348794457573)"
"43356","200 Block Of Haight  Street","03/10/2000","Hayes Valley",""
"43358","400 Block Of Capp  Street","08/25/1998","Mission","(37.75949966790144, -122.41804141186314)"
"43359","200 Block Of Cashmere  Street","09/17/1999","Bayview Hunters Point","(37.73624699148125, -122.38702853040682)"
"43360","1400 Block Of 10th  Avenue","06/02/2000","Inner Sunset","(37.761196271505234, -122.46718741385982)"
"43361","3800 Block Of 17th  Street","11/18/1998","Castro/Upper Market","(37.76264316484193, -122.4325365977526)"
"43363","1500 Block Of 20th  Street","06/26/1998","Potrero Hill","(37.75999655231278, -122.39676640495283)"
"43364","600 Block Of Post  Street","04/04/1997","Nob Hill","(37.78783125299174, -122.41202142363652)"
"43366","2700 Block Of Folsom  Street","12/13/1999","Mission","(37.75330247464155, -122.41415977110726)"
"43367","2400 Block Of Mission  Street","03/16/1998","Mission","(37.75841617686801, -122.41903207063916)"
"43368","1200 Block Of 03rd  Avenue","07/09/1998","Inner Sunset","(37.7647878080157, -122.45992027476626)"
"43369","100 Block Of Noe  Street","09/05/1997","Castro/Upper Market","(37.76706180765546, -122.43337008201576)"
"43372","0 Block Of Mars  Street","04/23/1997","Castro/Upper Market","(37.761263649876334, -122.44460718780118)"
"43373","1200 Block Of Haight  Street","10/07/1999","Haight Ashbury","(37.77044795460123, -122.4434803867517)"
"43374","1100 Block Of Pacific  Avenue","11/15/1999","Nob Hill","(37.795923113511705, -122.41464146620858)"
"43375","1300 Block Of Haight  Street","08/28/1998","Haight Ashbury","(37.77031827554807, -122.4444970388784)"
"43377","2300 Block Of Bryant  Street","10/25/1999","Mission","(37.75679467752614, -122.40952429336052)"
"43379","1500 Block Of 16th  Avenue","10/27/1997","Inner Sunset","(37.75877918808237, -122.47374309095738)"
"43380","1800 Block Of 41st  Avenue","06/06/1997","Sunset/Parkside","(37.752267414152634, -122.49997966001179)"
"43381","0 Block Of Laussat  Street","08/03/1998","Hayes Valley","(37.771954316676265, -122.42788608045562)"
"43382","1000 Block Of Potrero  Avenue","02/26/1998","Potrero Hill","(37.755363006656076, -122.40661364778616)"
"43383","1000 Block Of Treat  Avenue","08/02/1999","Mission","(37.75336866979522, -122.41306803227269)"
"43384","0 Block Of Mercury  Street","02/08/1999","Bayview Hunters Point","(37.73191898375334, -122.40157770051398)"
"43385","400 Block Of 42nd  Avenue","05/12/1998","Outer Richmond","(37.780393251217525, -122.5030293577172)"
"43386","900 Block Of Green  Street","08/11/1998","Russian Hill","(37.79874325725765, -122.41507280586815)"
"43387","2400 Block Of 15th  Street","08/19/1999","Castro/Upper Market","(37.76607862910136, -122.43781097234834)"
"43388","1000 Block Of South Van Ness  Avenue","10/19/1998","Mission","(37.75636746090073, -122.41664311776752)"
"43390","3600 Block Of 23rd  Street","03/24/1998","Mission","(37.75351905474754, -122.42386849594422)"
"43391","1000 Block Of Divisadero  Street","03/20/1997","Western Addition","(37.77919887479416, -122.43859441950046)"
"43392","1500 Block Of Fulton  Street","10/19/1998","Lone Mountain/USF","(37.7763305382556, -122.44231039046421)"
"43394","200 Block Of Santos  Street","03/26/1999","Visitacion Valley","(37.70912908634483, -122.41971543771004)"
"43395","0 Block Of Parnassus  Street","05/12/1997","Haight Ashbury","(37.76495118405936, -122.44910534552375)"
"43397","300 Block Of Day  Street","04/08/1998","Noe Valley","(37.74269758817372, -122.42991396278241)"
"43398","500 Block Of Spruce  Street","10/30/1998","Presidio Heights","(37.785022382505176, -122.45373940610234)"
"43399","1700 Block Of 18th  Avenue","04/20/2000","Inner Sunset","(37.755221000767854, -122.47547131657913)"
"43400","700 Block Of 12th  Avenue","05/17/2000","Inner Richmond","(37.77414303692183, -122.47023029611447)"
"43401","1100 Block Of Treat  Avenue","06/26/1998","Mission","(37.75177042339445, -122.41291686480984)"
"43402","2800 Block Of 23rd  Street","09/10/1998","Mission","(37.754425648591905, -122.40879807140581)"
"43405","1100 Block Of Alabama  Street","03/09/2000","Mission","(37.753485830687225, -122.41104139324008)"
"43406","3100 Block Of 22nd  Street","07/01/1997","Mission","(37.7555353896722, -122.41711281856806)"
"43407","3000 Block Of 20th  Street","01/26/1998","Mission","(37.75910900928929, -122.41116919290589)"
"43408","1600 Block Of 39th  Avenue","04/12/1999","Sunset/Parkside","(37.75608751858444, -122.498096393744)"
"43409","1700 Block Of Vallejo  Street","01/04/1999","Marina","(37.79637677957161, -122.42607130398866)"
"43410","100 Block Of Nueva  Avenue","01/29/1998","Bayview Hunters Point","(37.71210244443201, -122.39700316339525)"
"43412","0 Block Of Alvarado  Street","01/09/1997","Mission","(37.75442041285644, -122.42226932961707)"
"43413","400 Block Of Vallejo  Street","12/16/1998","North Beach","(37.79903383442269, -122.40513897872147)"
"43414","1800 Block Of 29th  Avenue","05/24/2000","Sunset/Parkside","(37.75283590942186, -122.48711803843557)"
"43415","500 Block Of Prentiss  Street","09/30/1998","Bernal Heights","(37.736410547400915, -122.4122919598902)"
"43416","100 Block Of Julian  Avenue","09/24/1998","Mission","(37.765788059307184, -122.42097895073323)"
"43417","6200 Block Of 03rd  Street","08/03/1998","Bayview Hunters Point","(37.72133152083688, -122.39605475914979)"
"43418","800 Block Of 36th  Avenue","11/24/1998","Outer Richmond",""
"43419","100 Block Of College  Avenue","06/03/1997","Bernal Heights","(37.735403045286446, -122.4264878131214)"
"43420","500 Block Of Clipper  Street","12/24/1997","Noe Valley","(37.74869601478164, -122.4371592899656)"
"43423","2500 Block Of 19th  Avenue","06/07/1999","West of Twin Peaks","(37.74026068537288, -122.47540541686567)"
"43425","3200 Block Of California  Street","04/27/2000","Presidio Heights","(37.78715562060029, -122.44763057787596)"
"43426","200 Block Of Casitas  Street","11/09/1998","West of Twin Peaks","(37.73665103419077, -122.46031076435268)"
"43427","700 Block Of Sacramento  Street","11/07/1997","Chinatown","(37.79347239646464, -122.4053714548644)"
"43428","1700 Block Of 43rd  Avenue","12/10/1999","Sunset/Parkside","(37.75402968076817, -122.5022545812471)"
"43429","0 Block Of States  Street","02/20/1997","Castro/Upper Market","(37.76346380503083, -122.43905082630926)"
"43430","600 Block Of Ofarrell  Street","10/21/1999","Tenderloin","(37.78549072994295, -122.41534695770982)"
